## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過，114.5.15 第 184 次教務會議通過

### 核心課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| | | 複合材料力學 | 機電所 | 3 | — |
| | 電子學 | 電子學(一) | 電機系 | 3 | — |
| | | 電子學(一) | 材光系 | 3 | — |
| | | 電子學(二) | 電機系 | 3 | — |
| | | 電子學(二) | 材光系 | 3 | — |
| | | 電子學(三) | 電機系 | 3 | — |
| | | 數位電子學 | 機電系 | 3 | — |
| | | 應用電子學 | 機電系 | 3 | — |
| | | 電力電子學 | 機電系 | 3 | — |
| | 微機電系統 | 微機電系統概論 | 機電系 | 3 | — |
| | | 奈微系統工程原理 | 電機系 | 3 | — |
| | | 微機電系統 | 電機所 | 3 | — |
| | | 微機電製程實務 | 機電系 | 2 | — |
| | 程式語言 | 工程電腦程式 | 機電系 | 3 | — |
| | | 計算機程式與應用 | 機電所 | 3 | — |
| | | 計算機程式 | 電機系 | 3 | — |
| | 實驗設計與統計應用 | 統計與實驗設計實作 | 零組件所 | 3 | — |
| | | 工程統計與品質管理 | 封測所 | 3 | — |

> 核心課程(必修)學分數： 6 學分
> 核心課程(必選修)學分數： 18 學分

### 選修課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 選修 | 半導體元件物理 | 半導體元件(一) | 電機系 | 3 | 1.每一學程科目僅採計一門課程學分。2.選修8學程科目應選3門課程。 |
| | | 半導體元件(二) | 電機系 | 3 | — |
| | | 半導體元件 | 材光所 | 3 | — |
| | | 固態電子元件(一) | 電機所 | 3 | — |
| | | 固態電子元件(二) | 電機所 | 3 | — |
| | | 固態電子元件(三) | 電機所 | 3 | — |
| | | 半導體奈米元件物理 | 物理所 | 3 | — |
| | | 記憶體元件與製程技術 | 材光所 | 3 | — |
| | | 半導體元件與物理 | 製造所 | 3 | — |
| | 半導體/奈米/機電材料 | 奈米材料 | 電機所 | 3 | — |
| | | 微奈米材料 | 機電所 | 3 | — |
| | | 電子材料工程 | 電機系 | 3 | — |
| | | 電子材料 | 零組件所 | 3 | — |
| | | 機電材料 | 機電系 | 3 | — |
| | | 半導體材料 | 零組件所 | 3 | — |
| | | 有機半導體材料 | 材光所 | 3 | — |
| | | 有機半導體材料與元件 | 封測所 | 3 | — |
| | | 低維度電子材料 | 電機所 | 3 | — |
| | | 低維度半導體科學 | 材光所 | 3 | — |
| | 流體力學 | 流體力學 | 機電系 | 3 | — |
| | | 計算流體力學及熱傳學 | 機電所 | 3 | — |
| | | 中等流體力學 | 機電系 | 3 | — |
| | 智慧製造技術 | 智慧製造聯網整合技術 | 機電系 | 3 | — |
| | | 智慧製造與監測技術 | 機電所 | 3 | — |
| | | 智慧製造與控制實務 | 封測所 | 3 | — |
| | 量測原理 | 光電導論 | 物理系 | 3 | — |
| | | 傅氏光學 | 材光所 | 3 | — |
| | 半導體薄膜技術 | 半導體薄膜技術 | 電機所 | 3 | — |
| | | 高等矽覆絕緣技術 | 電機所 | 3 | — |
| | | SOI 積體電路工程 | 電機所 | 3 | — |
| | | 薄膜製程技術 | 機電所 | 3 | — |
| | | 薄膜製程技術 | 材光所 | 3 | — |
| | | 半導體薄膜工程 | 製造所 | 3 | — |
| | | 薄膜工程與檢測技術 | 零組件所 | 3 | — |
| | 無機化學 | 無機化學(一) | 化學系 | 3 | — |
| | | 無機化學(二) | 化學系 | 3 | — |
| | | 無機化學(三) | 化學系 | 3 | — |
| | | 高等無機化學 | 化學系 | 3 | — |
| | 機器學習/深度學習 | 機器學習系統設計實務與應用 | 電機系 | 3 | — |
| | | 深度學習理論與應用 | 機電所 | 3 | — |

> 選修課程學分數： 9 學分
> 總學分數：至少 33 學分

**備註：**
1. 【整合學程】課程規劃至少 33 學分；學生可使用「核心課程（必選修）」之學分抵免專業選修學分，惟不得重複計入學程核心課程學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。

---

## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過，113.12.12 第 182 次教務會議通過

### 核心課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 核心課程(必修) | 半導體製程設備與技術 | 半導體製程設備與技術 | 機電所 | 3 | 1.每一學程科目僅採計一門課程學分。2.核心(必修)2學程科目應選2門課程。 |
| | 機器人與自動化應用 | 機器人學 | 電機所 | 3 | — |
| | | 行動機器人 | 電機所 | 3 | — |
| | | 機械設計原理(一) | 機電系 | 3 | — |
| | | 機械設計原理(二) | 機電系 | 3 | — |
| | | 機動學 | 機電系 | 3 | — |
| 核心課程(必選修) | 半導體製程 | 半導體製程導論 | 機電系 | 3 | 1.每一學程科目僅採計一門課程學分。2.核心(必選修)13學程科目應選6門課程。 |
| | | 半導體製程原理 | 材光所 | 3 | — |
| | | 半導體製程整合技術 | 封測所 | 3 | — |
| | | 半導體製程整合技術 | 零組件所 | 3 | — |
| | | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| | | 半導體奈米元件製造技術 | 物理所 | 3 | — |
| | | 積體電路技術 | 電機所 | 3 | — |
| | | 微電子技術 | 電機系 | 3 | — |
| | 電機機械與電路學 | 電路學 | 機電系 | 3 | — |
| | | 電路學(一) | 電機系 | 3 | — |
| | | 電路學(二) | 電機系 | 3 | — |
| | | 電機機械 | 電機系 | 3 | — |
| | | 機械設計原理(一) | 機電系 | 3 | — |
| | | 機械設計原理(二) | 機電系 | 3 | — |
| | 機電整合與自動化應用 | 機電整合 | 機電系 | 3 | — |
| | | 機電傳動系統 | 機電所 | 3 | — |
| | | 電機動態與控制 | 電機系 | 3 | — |
| | | 控制系統 | 電機系 | 3 | — |
| | | 自動控制 | 機電系 | 3 | — |
| | | 數位控制 | 機電系 | 3 | — |
| | | 數位控制 | 機電所 | 3 | — |
| | | 適應控制 | 機電所 | 3 | — |
| | | 最佳控制 | 機電所 | 3 | — |
| | | 最佳控制簡介 | 電機系 | 3 | — |
| | | 交直流馬達控制 | 電機所 | 3 | — |
| | | 模糊邏輯與控制 | 機電所 | 3 | — |
| | | 非線性系統及控制 | 機電所 | 3 | — |
| | 感測技術基礎科學 | 感測器原理與應用 | 機電所 | 3 | — |
| | | 感測與檢測 | 機電系 | 3 | — |
| | | 感測元件 | 電機所 | 3 | — |
| | | 感測元件 | 零組件所 | 3 | — |
| | 真空技術 | 真空技術與應用 | 機電所 | 3 | — |
| | 熱力學 | 熱力學 | 機電系 | 3 | — |
| | | 材料熱力學 | 材光系 | 3 | — |
| | | 中等熱力學 | 機電系 | 3 | — |
| | | 高等熱力學 | 機電系 | 3 | — |
| | | 熱傳學 | 機電系 | 3 | — |
| | | 中等熱傳學 | 機電系 | 3 | — |
| | | 物理化學 | 材光系 | 3 | — |
| | | 物理化學(二) | 化學系 | 3 | — |
| | | 熱統計物理 | 物理系 | 3 | — |
| | 機構設計與加工 | 創造性機構設計 | 機電所 | 3 | — |
| | | 自動化機構 | 機電所 | 3 | — |
| | | 平面機構運動學 | 機電所 | 3 | — |
| | | 空間機構運動學 | 機電所 | 3 | — |
| | | 奈米加工學 | 機電所 | 3 | — |
| | | 塑性加工學 | 機電所 | 3 | — |
| | | 精密機械製造 | 機電所 | 3 | — |
| | 化學/化學工程 | 工程化學 | 機電系 | 3 | — |
| | | 普通化學 | 化學系 | 3 | — |
| | | 普通化學(一) | 物理系 | 3 | — |
| | | 普通化學(一) | 材光系 | 3 | — |
| | | 普通化學(二) | 物理系 | 3 | — |
| | | 普通化學(二) | 材光系 | 3 | — |
| | 基礎材料科學 | 材料科學導論 | 材光系 | 3 | — |
| | | 材料科學 | 封測所 | 3 | — |
| | | 材料科學 | 零組件所 | 3 | — |
| | | 高分子材料導論 | 材光系 | 3 | — |
| | | 複合材料力學 | 機電所 | 3 | — |
| | 電子學 | 電子學(一) | 電機系 | 3 | — |
| | | 電子學(一) | 材光系 | 3 | — |
| | | 電子學(二) | 電機系 | 3 | — |
| | | 電子學(二) | 材光系 | 3 | — |
| | | 電子學(三) | 電機系 | 3 | — |
| | | 數位電子學 | 機電系 | 3 | — |
| | | 應用電子學 | 機電系 | 3 | — |
| | | 電力電子學 | 機電系 | 3 | — |
| | 微機電系統 | 微機電系統概論 | 機電系 | 3 | — |
| | | 奈微系統工程原理 | 電機系 | 3 | — |
| | | 微機電系統 | 電機所 | 3 | — |
| | | 微機電製程實務 | 機電系 | 2 | — |
| | 程式語言 | 工程電腦程式 | 機電系 | 3 | — |
| | | 計算機程式與應用 | 機電所 | 3 | — |
| | | 計算機程式 | 電機系 | 3 | — |
| | 實驗設計與統計應用 | 統計與實驗設計實作 | 零組件所 | 3 | — |
| | | 工程統計與品質管理 | 封測所 | 3 | — |

> 核心課程(必修)學分數： 6 學分
> 核心課程(必選修)學分數： 18 學分

### 選修課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 選修 | 半導體元件物理 | 半導體元件(一) | 電機系 | 3 | 1.每一學程科目僅採計一門課程學分。2.選修8學程科目應選3門課程。 |
| | | 半導體元件(二) | 電機系 | 3 | — |
| | | 半導體元件 | 材光所 | 3 | — |
| | | 固態電子元件(一) | 電機所 | 3 | — |
| | | 固態電子元件(二) | 電機所 | 3 | — |
| | | 固態電子元件(三) | 電機所 | 3 | — |
| | | 半導體奈米元件物理 | 物理所 | 3 | — |
| | | 記憶體元件與製程技術 | 材光所 | 3 | — |
| | | 半導體元件與物理 | 製造所 | 3 | — |
| | 半導體/奈米/機電材料 | 奈米材料 | 電機所 | 3 | — |
| | | 微奈米材料 | 機電所 | 3 | — |
| | | 電子材料工程 | 電機系 | 3 | — |
| | | 電子材料 | 零組件所 | 3 | — |
| | | 機電材料 | 機電系 | 3 | — |
| | | 半導體材料 | 零組件所 | 3 | — |
| | | 有機半導體材料 | 材光所 | 3 | — |
| | | 有機半導體材料與元件 | 封測所 | 3 | — |
| | | 低維度電子材料 | 電機所 | 3 | — |
| | | 低維度半導體科學 | 材光所 | 3 | — |
| | 流體力學 | 流體力學 | 機電系 | 3 | — |
| | | 計算流體力學及熱傳學 | 機電所 | 3 | — |
| | | 中等流體力學 | 機電系 | 3 | — |
| | 智慧製造技術 | 智慧製造聯網整合技術 | 機電系 | 3 | — |
| | | 智慧製造與監測技術 | 機電所 | 3 | — |
| | | 智慧製造與控制實務 | 封測所 | 3 | — |
| | 量測原理 | 光電導論 | 物理系 | 3 | — |
| | | 傅氏光學 | 材光所 | 3 | — |
| | 半導體薄膜技術 | 半導體薄膜技術 | 電機所 | 3 | — |
| | | 高等矽覆絕緣技術 | 電機所 | 3 | — |
| | | SOI 積體電路工程 | 電機所 | 3 | — |
| | | 薄膜製程技術 | 機電所 | 3 | — |
| | | 薄膜製程技術 | 材光所 | 3 | — |
| | | 半導體薄膜工程 | 製造所 | 3 | — |
| | | 薄膜工程與檢測技術 | 零組件所 | 3 | — |
| | 無機化學 | 無機化學(一) | 化學系 | 3 | — |
| | | 無機化學(二) | 化學系 | 3 | — |
| | | 無機化學(三) | 化學系 | 3 | — |
| | | 高等無機化學 | 化學系 | 3 | — |
| | 機器學習/深度學習 | 機器學習系統設計實務與應用 | 電機系 | 3 | — |
| | | 深度學習理論與應用 | 機電所 | 3 | — |

> 選修課程學分數： 9 學分
> 總學分數：至少 33 學分

**備註：**
1. 【整合學程】課程規劃至少 33 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。

---

## 【112 學年度第 2 學期版本】
113.4.22 112 學年度第 2 學期學分學程會議通過，113.5.30 第 180 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 各系所對應課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 機電所 | 半導體製程設備與技術 | 半導體製程設備與技術 | 3 | 1. 每一課程科目僅採計一門課程學分 |
| 機電系 | 半導體製程導論 | — | 3 | — |
| 材光所 | 半導體製程原理 | — | 3 | — |
| 封測所 | 半導體製程整合技術 | — | 3 | — |
| 製造所 | 半導體製程整合技術 | — | 3 | — |
| 物理系 | 半導體奈米元件製造技術 | — | 3 | — |
| 物理所 | 半導體奈米元件製造技術 | — | 3 | — |
| 光電系 | 半導體奈米元件製造技術 | — | 3 | — |
| 電機系 | 積體電路技術 | — | 3 | — |
| 機電系 | 電路學 | — | 3 | — |
| 電機系 | 電路學（一） | — | 3 | — |
| 電機系 | 電路學（二） | — | 3 | — |
| 電機系 | 電機機械 | — | 3 | — |
| 機電系 | 機械設計原理（一） | — | 3 | — |
| 機電系 | 機械設計原理（二） | — | 3 | — |
| 機電系 | 機電整合 | — | 3 | — |
| 機電所 | 機電傳動系統 | — | 3 | — |
| 電機系 | 電機動態與控制 | — | 3 | — |
| 電機系 | 控制系統 | — | 3 | — |
| 機電系 | 自動控制 | — | 3 | — |
| 機電所 | 數位控制 | — | 3 | — |
| 電機所 | 適應控制 | — | 3 | — |
| 電機所 | 最佳控制 | — | 3 | — |
| 電機電力所 | 最佳控制 | — | 3 | — |
| 電機系 | 最佳控制簡介 | — | 3 | — |
| 電機所 | 交直流馬達控制 | — | 3 | — |
| 機電所 | 非線性系統及控制 | — | 3 | — |
| 機電所 | 感測器原理與應用 | — | 3 | — |
| 機電系 | 感測與檢測 | — | 3 | — |
| 電機所 | 感測元件 | — | 3 | — |
| 電子零組件所 | 感測元件 | — | 3 | — |
| 機電系 | 真空技術與應用 | — | 3 | — |

> 核心課程學分數： 36 學分

### 選修課程

| 開課單位 | 課程名稱 | 各系所對應課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 機電系 | 熱力學 | — | 3 | 1. 每一課程科目僅採計一門課程學分 |
| 材光系 | 材料熱力學 | — | 3 | — |
| 機電系 | 中等熱力學 | — | 3 | — |
| 機電系 | 高等熱力學 | — | 3 | — |
| 材光所 | 冶金熱力學 | — | 3 | — |
| 機電所 | 奈米加工學 | — | 3 | — |
| 機電所 | 塑性加工學 | — | 3 | — |
| 機電系 | 精密機械製造 | — | 3 | — |
| 機電系 | 工程化學 | — | 3 | — |
| 光電系 | 普通化學 | — | 3 | — |
| 生科系 | 普通化學 | — | 3 | — |
| 化學系 | 普通化學 | — | 3 | — |
| 海資系 | 普通化學 | — | 3 | — |
| 物理系 | 普通化學（一） | — | 3 | — |
| 材光系 | 普通化學（一） | — | 3 | — |
| 海科系 | 普通化學（一） | — | 3 | — |
| 物理系 | 普通化學（二） | — | 3 | — |
| 材光系 | 普通化學（二） | — | 3 | — |
| 海科系 | 普通化學（二） | — | 3 | — |
| 光電系 | 應用化學 | — | 3 | — |
| 環工所 | 環境化學 | — | 3 | — |
| 海資系 | 環境化學 | — | 3 | — |
| 海工系 | 環境工程化學 | — | 3 | — |
| 機電系 | 機電材料 | — | 3 | — |
| 材光系 | 材料科學導論 | — | 3 | — |
| 封測所 | 材料科學 | — | 3 | — |
| 電子零組件所 | 材料科學 | — | 3 | — |
| 材光系 | 高分子材料導論 | — | 3 | — |
| 材光系 | 材料機械性質 | — | 3 | — |
| 光電所 | 光電材料 | — | 3 | — |
| 機電所 | 複合材料力學 | — | 3 | — |
| 材光系 | 材料物理性質 | — | 3 | — |
| 材光系 | 材料顯微分析技術 | — | 3 | — |
| 機電所 | 微奈米材料 | — | 3 | — |
| 材光系 | 軟質材料 | — | 3 | — |
| 材光所 | 半導體材料測試與分析 | — | 3 | — |
| 材光所 | 有機半導體材料 | — | 3 | — |
| 材光所 | 材料變形與破壞 | — | 3 | — |
| 電機系 | 電子學（一） | — | 3 | — |
| 光電系 | 電子學（一） | — | 3 | — |
| 材光系 | 電子學（一） | — | 3 | — |
| 機電系 | 數位電子學 | — | 3 | — |
| 資工系 | 數位電子學 | — | 3 | — |
| 機電系 | 應用電子學 | — | 3 | — |
| 機電系 | 工程電腦程式 | — | 3 | — |
| 海工碩 | 機器學習於海洋環境管理之應用 | — | 3 | — |
| 資工碩 | 核心基礎的機器學習 | — | 3 | — |
| 資工碩 | 進階機器學習 | — | 3 | — |
| 電機系 | 機器學習系統設計實務與應用 | — | 3 | — |
| 資工系 | 機器學習導論 | — | 3 | — |
| 管理學院(碩) | 大數據分析、機器學習、與人工智慧方法 | — | 3 | — |
| 應數碩 | Python 與機器學習 | — | 3 | — |
| 通訊碩 | 深度學習 | — | 3 | — |
| 資管碩 | 深度學習 | — | 3 | — |
| 機電所 | 深度學習理論與應用 | — | 3 | — |
| 光電系 | 計算機程式 | — | 3 | — |
| 機電所 | 計算機程式與應用 | — | 3 | — |
| 資工系 | Ｃ程式設計（一） | — | 3 | — |
| 資工系 | 網路系統程式設計 | — | 3 | — |
| 資工系 | 物件導向程式設計 | — | 3 | — |
| 資工系 | 嵌入式系統程式設計 | — | 3 | — |
| 資工系 | UNIX 系統程式 | — | 3 | — |
| 資工系 | Python 程式設計 | — | 3 | — |
| 電機系 | 計算機程式 | — | 3 | — |
| 電機系 | 半導體元件(一) | — | 3 | 1. 每一課程科目僅採計一門課程學分 |
| 電機系 | 半導體元件(二) | — | 3 | — |
| 材光所 | 半導體元件 | — | 3 | — |
| 材光所 | 記憶體元件與製程技術 | — | 3 | — |
| 電機所 | 固態電子元件(一) | — | 3 | — |
| 電機所 | 固態電子元件(二) | — | 3 | — |
| 電機所 | 固態電子元件(三) | — | 3 | — |
| 機電系 | 微機電系統概論 | — | 3 | — |
| 電機系 | 奈微系統工程原理 | — | 3 | — |
| 電機所 | 微機電系統 | — | 3 | — |
| 機電系 | 微機電製程實務 | — | 3 | — |
| 機電系 | 流體力學 | — | 3 | — |
| 海工系 | 流體力學 | — | 3 | — |
| 海科系 | 流體力學(一) | — | 3 | — |
| 海科系 | 流體力學(二) | — | 3 | — |
| 海工所 | 計算流體力學 | — | 3 | — |
| 機電所 | 計算流體力學及熱傳學 | — | 3 | — |
| 機電系 | 中等流體力學 | — | 3 | — |
| 海工所 | 高等流體力學 | — | 3 | — |
| 海科所 | 海洋流體力學 | — | 3 | — |
| 海工所 | 海洋流體力學 | — | 3 | — |
| 環工所 | 環境流體力學 | — | 3 | — |
| 機電所 | 智慧製造與監測技術 | — | 3 | — |
| 封測所 | 智慧製造與控制實務 | — | 3 | — |
| 電機所 | 機器人學 | — | 3 | — |
| 電機所 | 行動機器人 | — | 3 | — |
| 材光系 | 材料顯微分析技術 | — | 3 | — |
| 材光系 | 光電科技概論 | — | 3 | — |
| 光電系 | 光電工程導論 | — | 3 | — |
| 光電所 | 光電數值方法 | — | 3 | — |
| 材光系 | 電子顯微鏡 | — | 3 | — |
| 材光系 | 電子顯微鏡於軟物質研究之應用 | — | 3 | — |
| 材光所 | X光與電子能譜學 | — | 3 | — |
| 材光所 | 小角度X光與中子散射在軟物質材料之應用 | — | 3 | — |
| 博雅向度五 | 橘子蘋果統計學 | — | 3 | — |
| 財管系 | 統計學（一） | — | 3 | — |
| 應數系 | 統計學（一） | — | 3 | — |
| 政經系 | 統計學（一） | — | 3 | — |
| 應數系 | 應用統計方法 | — | 3 | — |
| 電機系 | 機率與統計 | — | 3 | — |
| 應數系 | 統計推論 | — | 3 | — |
| 海工系 | 機率與統計 | — | 3 | — |
| 電機所 | 半導體薄膜技術 | — | 3 | — |
| 電子零組件所 | 薄膜工程與檢測技術 | — | 3 | — |
| 半導體學院 | 半導體薄膜工程 | — | 3 | — |
| 化學系 | 無機化學（一） | — | 3 | — |
| 化學系 | 無機化學（二） | — | 3 | — |
| 化學系 | 無機化學（三） | — | 3 | — |
| 化學所 | 高等無機化學 | — | 3 | — |

> 總學分數：至少 48 學分

**備註：**
1. 【整合學程】課程規劃至少 48 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。

---

## 【112 學年度第 1 學期版本】
112.11.7 112 學年度第 1 學期學分學程會議通過，112.12.12 第 178 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 採認課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 機電碩 | 半導體製程設備與技術 | 半導體製程設備與技術 | 3 | 1.每一課程科目僅採計一門課程學分 |
| 材料碩 | 半導體製程 | 積體電路製程原理 | 3 | — |
| 數理學程 | 半導體製程 | 半導體製程原理與實作 | 3 | — |
| 材料碩 | 半導體製程 | 積體電路製程技術 | 4 | — |
| 機電系 | 半導體製程 | 半導體製程導論 | 3 | — |
| 機電系 | 電機機械與電路學 | 電路學 | 3 | — |
| 跨院選修(工) | 電機機械與電路學 | 電路學（一） | 3 | — |
| 跨院選修(工) | 電機機械與電路學 | 電路學（二） | 3 | — |
| 電機系 | 電機機械與電路學 | 電機機械 | 3 | — |
| 機電系 | 電機機械與電路學 | 機械設計原理（一） | 3 | — |
| 機電系 | 電機機械與電路學 | 機械設計原理（二） | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 機電傳動系統 | 3 | — |
| 機電系 | 機電整合與自動化應用 | 機電整合 | 3 | — |
| 資工系 | 機電整合與自動化應用 | 電子設計自動化及測試導論 | 3 | — |
| 機電系 | 機電整合與自動化應用 | 自動控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 電機動態與控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 控制系統 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 數位控制 | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 非線性系統及控制 | 3 | — |
| 電機系 | 機電整合與自動化應用 | 最佳控制簡介 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 交直流馬達控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 最佳控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 適應控制 | 3 | — |
| 電機碩 | 機電整合與自動化應用 | 數位控制 | 3 | — |
| 機電碩 | 機電整合與自動化應用 | 模糊邏輯與控制 | 3 | — |
| 電機電力碩 | 機電整合與自動化應用 | 最佳控制 | 3 | — |
| 資工碩 | 感測技術基礎科學 | 無線隨意與感測網路技術 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 光纖感測原理 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 感測器校正 | 3 | — |
| 機電系 | 感測技術基礎科學 | 感測與檢測 | 3 | — |
| 電機碩 | 感測技術基礎科學 | 感測元件 | 3 | — |
| 機電系 | 真空技術 | 真空技術與應用 | 3 | — |
| 機電系 | — | 熱力學 | 3 | — |

> 核心課程學分數： 36 學分

### 選修課程

| 開課單位 | 課程名稱 | 採認課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 材光系 | 熱力學 | 材料熱力學 | 3 | — |
| 機電系 | 熱力學 | 中等熱力學 | 3 | — |
| 材光碩 | 熱力學 | 冶金熱力學 | 3 | — |
| 機電系 | 機構設計與加工 | 自動化機構 | 3 | — |
| 機電碩 | 機構設計與加工 | 平面機構運動學 | 3 | — |
| 機電碩 | 機構設計與加工 | 空間機構運動學 | 3 | — |
| 機電碩 | 機構設計與加工 | 創造性機構設計 | 3 | — |
| 機電碩 | 機構設計與加工 | 奈米加工學 | 3 | — |
| 機電碩 | 機構設計與加工 | 塑性加工學 | 3 | — |
| 機電系 | 機構設計與加工 | 精密機械製造 | 3 | — |
| 機電系 | 化學工程 | 工程化學 | 3 | — |
| 光電系 | 化學工程 | 普通化學 | 3 | — |
| 光電系 | 化學工程 | 應用化學 | 3 | — |
| 環工碩 | 化學工程 | 環境化學 | 3 | — |
| 材光系 | 化學工程 | 普通化學（一） | 3 | — |
| 材光系 | 化學工程 | 普通化學（二） | 3 | — |
